Name,File,Category,Tags,Multibody,Deprecated,Orphaned,Cost,Mass,Width,Depth,Height,Short Description,Description
Pipe Angle,trans_angle.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,An angled pipe for transferring to components from an engine.,
Pipe Angle (Enclosed),trans_block_angle.xml,Blocks,,FALSE,FALSE,FALSE,5,1,1,1,1,An angled pipe for transferring to components from an engine.,
Pipe Angle Corner,trans_corner.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,A T-shaped pipe segment that can be used to branch piping into three directions.,
Pipe Angle Corner (Enclosed),trans_block_corner.xml,Blocks,,FALSE,FALSE,FALSE,5,1,1,1,1,A T-shaped pipe segment that can be used to branch piping into three directions.,
Pipe Cross,trans_cross.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,An X-shaped pipe segment that can be used to branch piping into four directions.,
Pipe Cross (Enclosed),trans_block_cross.xml,Blocks,,FALSE,FALSE,FALSE,5,1,1,1,1,An X-shaped pipe segment that can be used to branch piping into four directions.,
Pipe Cross Corner,trans_cross_corner.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,An X-shaped pipe segment that can be used to branch piping into five directions.,
Pipe Cross Corner (Enclosed),trans_block_cross_corner.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,An X-shaped pipe segment that can be used to branch piping into five directions.,
Pipe Omni,trans_omni.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,An omnidirectional pipe segment.,
Pipe Omni (Enclosed),trans_block_omni.xml,Blocks,,FALSE,FALSE,FALSE,5,1,1,1,1,An omnidirectional pipe segment.,
Pipe Straight,trans_straight.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,A straight section of pipe for transferring to components from an engine.,
Pipe Straight (Enclosed),trans_block_straight.xml,Blocks,,FALSE,FALSE,FALSE,5,1,1,1,1,A straight section of pipe for transferring to components from an engine.,
Pipe T-Piece,trans_t.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,A T-shaped pipe segment that can be used to branch piping into three directions.,
Pipe T-Piece (Enclosed),trans_block_t.xml,Blocks,,FALSE,FALSE,FALSE,5,1,1,1,1,A T-shaped pipe segment that can be used to branch piping into three directions.,
Pipe T-Piece Corner,trans_t_corner.xml,Blocks,basic,FALSE,FALSE,FALSE,5,1,1,1,1,A T-shaped pipe segment that can be used to branch piping into four directions.,
Pipe T-Piece Corner (Enclosed),trans_block_t_corner.xml,Blocks,,FALSE,FALSE,FALSE,5,1,1,1,1,A T-shaped pipe segment that can be used to branch piping into four directions.,
Pyramid,03_pyramid.xml,Blocks,basic,FALSE,FALSE,FALSE,2,0.25,1,1,1,Basic pyramid-shaped building block. ,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Pyramid 1x2,06_pyramid_2.xml,Blocks,basic,FALSE,FALSE,FALSE,2,0.5,1,2,1,1x2 pyramid-shaped building block. ,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Pyramid 1x4,09_pyramid_4.xml,Blocks,basic,FALSE,FALSE,FALSE,4,1,1,4,1,1x4 pyramid-shaped building block. ,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Pyramid 2x2,11_pyramid_2x2.xml,Blocks,basic,FALSE,FALSE,FALSE,4,1,2,2,1,2x2 pyramid-shaped building block. ,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Pyramid 2x4,12_pyramid_2x4.xml,Blocks,basic,FALSE,FALSE,FALSE,8,2,2,4,1,2x4 pyramid-shaped building block. ,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Pyramid 4x4,13_pyramid_4x4.xml,Blocks,basic,FALSE,FALSE,FALSE,16,4,4,4,1,4x4 pyramid-shaped building block. ,"Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks."
Stair Step,stair_segment.xml,Blocks,basic,FALSE,FALSE,FALSE,20,6,3,2,1,A single step that can be stacked to create a staircase.,
Stair Top,stair_top.xml,Blocks,"step,basic",FALSE,FALSE,FALSE,20,6,3,2,1,A single step that can be used at the top of a staircase to make it flush with a platform.,
Static Block,01_block_static.xml,Blocks,,FALSE,TRUE,FALSE,10,1,1,1,1,Static root block used as a base for all vehicles.,This block cannot be removed.
Wedge,02_wedge.xml,Blocks,basic,FALSE,FALSE,FALSE,2,0.5,1,1,1,Basic wedge-shaped building block.,"Components can be attached to all faces, with the exception of the sloped face."
Wedge 1x2,05_wedge_2.xml,Blocks,basic,FALSE,FALSE,FALSE,2,1,1,2,1,1x2 wedge-shaped building block.,"Components can be attached to all faces, with the exception of the sloped face."
Wedge 1x4,08_wedge_4.xml,Blocks,basic,FALSE,FALSE,FALSE,4,2,1,4,1,1x4 wedge-shaped building block.,"Components can be attached to all faces, with the exception of the sloped face."
Weight Block,01_block_weight.xml,Blocks,basic,FALSE,FALSE,FALSE,5,10,1,1,1,Basic cube-shaped building block with an increased mass.,"Weight blocks have a larger impact on the vehicle's centre of mass, making them useful for balance and stability."
Compact Pilot Seat,seat_compact.xml,Vehicle Control,"basic,seat,control,pilot",FALSE,FALSE,FALSE,100,7,3,3,5,The compact pilot seat lets you translate keyboard presses into output signals that can control logic components.,"It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the compact pilot seat by interacting with it using [f]."
Control Fin Large,control_fin_large.xml,Vehicle Control,"boat,basic",FALSE,FALSE,FALSE,350,10,1,3,3,The fin can be attached to the surface of a vehicle to direct its motion.,It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.
Control Fin Medium,control_fin_medium.xml,Vehicle Control,"boat,basic",FALSE,FALSE,FALSE,150,5,1,3,2,The fin can be attached to the surface of a vehicle to direct its motion.,It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.
Control Fin Small,control_fin_small.xml,Vehicle Control,"boat,basic",FALSE,FALSE,FALSE,50,2,1,1,1,The fin can be attached to the surface of a vehicle to direct its motion.,It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.
Control Handle,seat_handle.xml,Vehicle Control,"basic,seat,control,pilot",FALSE,FALSE,FALSE,50,1,3,3,7,A compact control handle.,You can get in and out of the position by interacting with it using [f].
Control Surface (Large),control_surface_large.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,500,25,1,17,5,The control surface can be attached to a surface of the vehicle to apply force as air or water is flowing over it.,It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.
Control Surface (Medium),control_surface_medium.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,250,15,1,11,4,The control surface can be attached to a surface of the vehicle to apply force as air or water is flowing over it.,It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.
Control Surface (Small),control_surface_small.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,150,10,1,7,3,The control surface can be attached to a surface of the vehicle to apply force as air or water is flowing over it.,It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.
Data Logger (Bool),data_logger_bool.xml,Vehicle Control,,FALSE,TRUE,FALSE,1,1,1,1,1,A bool data logging block for unit tests.,Link to the bool output node of another component to record data for unit tests.
Data Logger (Number),data_logger_number.xml,Vehicle Control,,FALSE,TRUE,FALSE,1,1,1,1,1,A number data logging block for unit tests.,Link to the number output node of another component to record data for unit tests.
Driver seat,seat_racing.xml,Vehicle Control,"basic,seat,control,pilot",FALSE,FALSE,FALSE,100,10,3,4,5,The driver seat lets you translate keyboard presses into output signals that can control logic components.,"It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the driver seat by interacting with it using [f]."
Fin Rudder,rudder_surface.xml,Vehicle Control,"boat,basic",FALSE,FALSE,FALSE,100,5,1,3,2,"The fin rudder can be attached to the keel of a boat to control its yaw, allowing you to steer left and right.",It takes a number input between -1 and 1 that represent the two extremes of the fin's rotation.
Friction Pad,friction_block.xml,Vehicle Control,,FALSE,FALSE,FALSE,15,1,1,1,1,Friction pad that grips to surfaces.,High friction pad that grips any surface it touches.
Gyro,gyro.xml,Vehicle Control,helicopter,FALSE,FALSE,FALSE,500,10,5,3,1,"The gyroscope takes 4 standard value signals representing the desired yaw, pitch, roll and vertical motion of a helicopter.","It outputs stabilised values that can be sent to rotors and engines to make them much easier to control. An on/off input allows you to activate and deactivate the internal auto-hover circuit. When auto-hover is enabled, the gyroscope will attempt to keep your helicopter steady."
Helm,seat_helm.xml,Vehicle Control,"basic,seat,control,pilot",FALSE,FALSE,FALSE,150,15,3,5,7,A steering helm with steering wheel.,You can get in and out of the position by interacting with it using [f]. You can place a rescued survivor in any position by using [f] while carrying them.
Keep Active Block,no_sleep.xml,Vehicle Control,no_sleep,FALSE,FALSE,FALSE,100,1,1,1,1,A keep alive marking block.,"When on a vehicle, the vehicle will not despawn when out of range."
Large Landing Wheel,wheel_coaster_large.xml,Vehicle Control,basic,FALSE,FALSE,FALSE,50,8,3,3,4,Large landing wheel that requires no engine power and spins freely.,"You cannot control the forward and backward rotation of this wheel, but it can be locked into place by sending an on signal to the brake input."
Map Icon Block,map_icon.xml,Vehicle Control,,FALSE,FALSE,FALSE,100,1,1,1,1,A vehicle tracking block.,"When on a vehicle, the vehicle will show on the map and other vehicles in the group will be hidden. The custom name set here will be the name set on the map."
Medium Wheel,wheel_medium.xml,Vehicle Control,"steerable,steering,basic",FALSE,FALSE,FALSE,100,10,7,7,5,Medium wheel that can be controlled using an engine.,The wheel will rotate forwards and backwards depending on power received from a connected engine. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Pilot Seat,seat.xml,Vehicle Control,"basic,seat,control,pilot",FALSE,FALSE,FALSE,100,24,3,4,6,The pilot seat lets you translate keyboard presses into output signals that can control logic components.,"It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the pilot seat by interacting with it using [f]."
Pilot Seat (HOTAS),seat_hotas.xml,Vehicle Control,"basic,seat,control,pilot",FALSE,FALSE,FALSE,250,50,3,5,6,The pilot seat lets you translate controller presses into output signals that can control logic components.,"It provides 10 number outputs that produce a standard value ranging from -1 to 1, and 48 on/off outputs. You can get in and out of the pilot seat by interacting with it using [f]. Designed for use with HOTAS controllers."
Radio RX Huge,rx_huge.xml,Vehicle Control,,FALSE,TRUE,FALSE,5000,20,1,1,9,A radio data transmitter and receiver.,Sends and receives data on the specified frequencies.
Radio RX Huge,rx_huge_v2.xml,Vehicle Control,,FALSE,FALSE,FALSE,3000,20,1,1,9,A radio data transmitter and receiver.,Sends and receives data on the specified frequency. Transmit Mode defaults to receive. (Max effective range at ground level : 20km)
Radio RX Large,rx_large.xml,Vehicle Control,,FALSE,TRUE,FALSE,200,12,1,1,5,A radio data transmitter and receiver.,Sends and receives data on the specified frequencies.
Radio RX Large,rx_large_v2.xml,Vehicle Control,,FALSE,FALSE,FALSE,1000,12,1,1,5,A radio data transmitter and receiver.,Sends and receives data on the specified frequency. Transmit Mode defaults to receive. (Max effective range at ground level : 4km)
Radio RX Medium,rx_med.xml,Vehicle Control,,FALSE,TRUE,FALSE,1000,8,1,1,4,A radio data transmitter and receiver.,Sends and receives data on the specified frequencies.
Radio RX Medium,rx_med_v2.xml,Vehicle Control,,FALSE,FALSE,FALSE,500,8,1,1,4,A radio data transmitter and receiver.,Sends and receives data on the specified frequency. Transmit Mode defaults to receive. (Max effective range at ground level : 1km)
Radio RX Small,rx_small.xml,Vehicle Control,,FALSE,TRUE,FALSE,500,5,1,1,2,A radio data transmitter and receiver.,Sends and receives data on the specified frequencies.
Radio RX Small,rx_small_v2.xml,Vehicle Control,,FALSE,FALSE,FALSE,200,5,1,1,2,A radio data transmitter and receiver.,Sends and receives data on the specified frequency. Transmit Mode defaults to receive. (Max effective range at ground level : 100m)
Radio Video Recv,rx_video_r.xml,Vehicle Control,,FALSE,FALSE,FALSE,1000,10,1,1,4,A radio receiver for receiving video signals.,Receives a video signal on the frequency specified.
Radio Video Xmit,rx_video_x.xml,Vehicle Control,,FALSE,FALSE,FALSE,2000,10,1,1,4,A radio transmitter for sending video signals.,Sends a video signal on the frequency specified. (Max Effective Range : 10000m)
Rudder,rudder.xml,Vehicle Control,"boat,basic",FALSE,FALSE,FALSE,150,10,3,3,4,"The rudder can be attached to the underside of a boat to control its yaw, allowing you to steer left and right.",It takes a number input between -1 and 1 that represent the two extremes of the rudder's rotation.
RX Directional,rx_directional.xml,Vehicle Control,,FALSE,FALSE,FALSE,5000,20,5,5,4,A powerful directional radio and video data transmitter and receiver.,Must be pointed at the target RX device. Sends and receives data on the specified frequency. Transmit Mode defaults to receive. (Max effective range at ground level : 8000km)
RX Directional (Large),rx_directional_large.xml,Vehicle Control,,FALSE,FALSE,FALSE,8000,35,9,9,6,A powerful directional radio and video data transmitter and receiver.,Must be pointed at the target RX device. Sends and receives data on the specified frequency. Transmit Mode defaults to receive. (Max effective range at ground level : 10000km)
Ski,ski.xml,Vehicle Control,,FALSE,FALSE,FALSE,200,12,3,13,2,A wide hinged ski.,"This component has low friction moving along its length, but grips laterally."
Ski (Small),ski_small.xml,Vehicle Control,,FALSE,FALSE,FALSE,100,8,1,9,2,A small hinged ski.,"This component has low friction moving along its length, but grips laterally."
Small Wheel,wheel_small.xml,Vehicle Control,"steerable,steering,basic",FALSE,FALSE,FALSE,30,5,3,3,4,Small wheel that can be controlled using an engine.,The wheel will rotate forwards and backwards depending on power received from a connected engine. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Space Seat,seat_space.xml,Vehicle Control,"basic,seat,control,pilot",FALSE,FALSE,FALSE,500,3,3,3,7,The space seat lets you translate keyboard presses into output signals that can control logic components.,"It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the space seat by interacting with it using [f]."
Tank Drive Wheel (Huge),wheel_tank_drive_7.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,450,80,7,7,5,Huge drive wheel for tracked vehicles.,The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Tank Drive Wheel (Large),wheel_tank_drive_5.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,350,40,5,5,3,Large drive wheel for tracked vehicles.,The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Tank Drive Wheel (Medium),wheel_tank_drive_5_2.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,300,30,5,5,3,Medium drive wheel for tracked vehicles.,The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Tank Drive Wheel (Small),wheel_tank_drive_1.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,200,20,3,3,2,Small drive wheel for tracked vehicles.,The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Tank Wheel (Huge),wheel_tank_7.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,350,80,7,7,5,Huge wheel for tracked vehicles.,A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Tank Wheel (Large),wheel_tank_5.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,250,40,5,5,3,Large wheel for tracked vehicles.,A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Tank Wheel (Medium),wheel_tank_5_2.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,200,30,5,5,3,Medium wheel for tracked vehicles.,A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Tank Wheel (Small),wheel_tank_1.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,100,20,3,3,2,Small wheel for tracked vehicles.,A drive wheel is required to rotate the connected track. The wheel will form a track with other wheels of the same size and orientation that are placed in line and on the same body.
Wheel 3x3,wheel_advanced_3.xml,Vehicle Control,"steerable,steering,basic",FALSE,FALSE,FALSE,100,10,3,3,2,Small steerable wheel with power connection and braking.,The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel 3x3 (Suspension),wheel_advanced_3_sus.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,150,15,3,3,3,"Small steerable wheel with suspension, power connection, and braking.",The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel 5x5,wheel_advanced_5.xml,Vehicle Control,"steerable,steering,basic",FALSE,FALSE,FALSE,150,20,5,5,3,Medium steerable wheel with power connection and braking.,The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel 5x5 (Suspension),wheel_advanced_5_sus.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,200,30,5,5,5,"Medium steerable wheel with suspension, power connection, and braking.",The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel 7x7,wheel_advanced_7.xml,Vehicle Control,"steerable,steering,basic",FALSE,FALSE,FALSE,200,40,7,7,4,Large steerable wheel with power connection and braking.,The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel 7x7 (Suspension),wheel_advanced_7_sus.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,250,60,7,7,6,"Large steerable wheel with suspension, power connection, and braking.",The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel 9x9,wheel_advanced_9.xml,Vehicle Control,"steerable,steering,basic",FALSE,FALSE,FALSE,250,80,9,9,5,XLarge steerable wheel with power connection and braking.,The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel 9x9 (Suspension),wheel_advanced_9_sus.xml,Vehicle Control,"steerable,steering",FALSE,FALSE,FALSE,300,120,9,10,8,"XLarge steerable wheel with suspension, power connection, and braking.",The wheel will rotate forwards and backwards depending on power received. It can be rotated left and right by sending a number signal to the steering input. It can also be locked into place by sending an on signal to the brake input.
Wheel Coaster,wheel_coaster.xml,Vehicle Control,basic,FALSE,FALSE,FALSE,25,4,3,3,3,Simple small wheel that requires no engine power and spins freely.,"You cannot control the forward and backward rotation of this wheel, but it can be locked into place by sending an on signal to the brake input."
Wing Front Section (Small),wing_small_front.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,100,5,1,3,7,The wing front surface cuts through the air while resisting movement against the flat plane of its surface. The aerofoil section also provides lift.,Wing surface to provide lift and cut through the air.
Wing Section (Large),wing_large.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,500,20,3,16,7,The wing surface cuts through the air while resisting movement against the flat plane of its surface. The aerofoil section also provides lift.,Wing surface to provide lift and cut through the air.
Wing Section (Medium),wing_medium.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,350,15,2,10,3,The wing surface cuts through the air while resisting movement against the flat plane of its surface. The aerofoil section also provides lift.,Wing surface to provide lift and cut through the air.
Wing Section (Small),wing_small.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,150,8,1,6,3,The wing surface cuts through the air while resisting movement against the flat plane of its surface. The aerofoil section also provides lift.,Wing surface to provide lift and cut through the air.
Wing Section (XLarge),wing_xl.xml,Vehicle Control,"airplane,aeroplane,basic",FALSE,FALSE,FALSE,800,30,3,22,7,The wing surface cuts through the air while resisting movement against the flat plane of its surface. The aerofoil section also provides lift.,Wing surface to provide lift and cut through the air.
Wing Section (XXLarge),wing_xxl.xml,Vehicle Control,"airplane,aeroplane",FALSE,FALSE,FALSE,1500,50,3,28,7,The wing surface cuts through the air while resisting movement against the flat plane of its surface. The aerofoil section also provides lift.,Wing surface to provide lift and cut through the air.
Clutch,torque_clutch.xml,Mechanics,basic,FALSE,FALSE,FALSE,50,2,1,1,2,A clutch for managing the transmission of power between two nodes.,The number input controls the amount of power transmitted.
Compact Linear Track Base,linear_compact_base.xml,Mechanics,,TRUE,FALSE,FALSE,20,5,1,1,2,A compact slider that moves along a modular linear track.,You can build the track using the Compact Linear Track Extension component. The speed of the slider can be set using its number input.
Compact Linear Track Extension,linear_compact_module.xml,Mechanics,,FALSE,FALSE,FALSE,20,1,1,1,1,An extension piece that can be used to build compact linear tracks.,A Compact Linear Track Base must be attached somewhere along the track for it to function.
Compact Robotic Pivot,multibody_compact_pivot_robotic_a.xml,Mechanics,,TRUE,FALSE,FALSE,40,2,1,1,2,A small robotic pivot that will orientate towards the input value within its range of motion.,The pivot has a range of motion of 0.25 turns in both directions. A standard input value sets the target orientation within the pivot's range of motion. The pivot's speed can be configured by selecting it with the select tool.
Compact Velocity Pivot,multibody_compact_pivot_velocity_a.xml,Mechanics,,TRUE,FALSE,FALSE,40,2,1,1,2,A small pivot that will continuously rotate at a set input speed.,Inputting a value of 0 will cause it to stop.
Door Frame Controller,door_frame_controller.xml,Mechanics,,FALSE,FALSE,FALSE,100,10,2,1,1,Controller unit for sealing door frames.,"Placing the controller as part of a door frame will let you lock the door when closed, and check whether the door is closed enough to be forming a seal. Only one controller should be placed per frame."
Door Frame Corner,door_frame_corner.xml,Mechanics,,FALSE,FALSE,FALSE,50,15,2,1,2,A corner piece for building openings to sealed fluid compartments.,"To create a valid frame, there must be a continuous loop of frame parts in a consistent orientation with no other parts inside the frame."
Door Frame Edge,door_frame_straight.xml,Mechanics,,FALSE,FALSE,FALSE,10,5,1,1,1,A straight edge for building openings to sealed fluid compartments.,"To create a valid frame, there must be a continuous loop of frame parts in a consistent orientation with no other parts inside the frame."
Door Panel Corner,door_panel_corner.xml,Mechanics,,FALSE,FALSE,FALSE,20,5,1,1,1,A corner piece for building door panels.,"A valid door panel can be created with a loop of door panel pieces, filled with blocks flush to the outer face. Door panels must also fill a door frame and be built in their closed position within the frame to be valid."
Door Panel Edge,door_panel_straight.xml,Mechanics,,FALSE,FALSE,FALSE,10,5,1,1,1,A straight edge piece for building door panels.,"A valid door panel can be created with a loop of door panel pieces, filled with blocks flush to the outer face. Door panels must also fill a door frame and be built in their closed position within the frame to be valid."
Electric Connector,connector_electric.xml,Mechanics,magnet,FALSE,FALSE,FALSE,20,2,1,1,2,A small electric connector that can be used to transfer electric energy between vehicles.,"Two electric connectors will attach when they are within close proximity. When connected, electric energy will flow freely between the connectors."
Fluid Connector,connector_water.xml,Mechanics,magnet,FALSE,FALSE,FALSE,20,2,1,1,2,A fluid connector that can be used to transfer fluid between vehicles.,"Two fluid connectors will attach when they are within close proximity. When connected, fluid will flow freely between the connectors."
Gearbox,torque_gearbox.xml,Mechanics,,FALSE,TRUE,FALSE,100,8,1,2,2,Gearbox for changing the torque and speed across power connections.,The ratio can be toggled between two values which can be set in the properties.
Gearbox,torque_gearbox_2.xml,Mechanics,,FALSE,TRUE,FALSE,100,8,1,2,2,Gearbox for changing the torque and speed across power connections.,The ratio can be toggled between two values which can be set in the properties. This gearbox operates up to a torque difference of 4000.
Gearbox 1x1,modular_engine_gearbox_1x1.xml,Mechanics,basic,FALSE,FALSE,FALSE,50,1,1,1,1,Gearbox for changing the torque and speed across power connections.,The ratio can be toggled between two values which can be set in the properties.
Gearbox 3x3,modular_engine_gearbox_3x3.xml,Mechanics,,FALSE,FALSE,FALSE,100,9,3,3,2,Gearbox for changing the torque and speed across power connections.,The ratio can be toggled between two values which can be set in the properties.
Gearbox 5x5,modular_engine_gearbox_5x5.xml,Mechanics,,FALSE,FALSE,FALSE,150,25,5,5,3,Gearbox for changing the torque and speed across power connections.,The ratio can be toggled between two values which can be set in the properties.
Hardpoint Connector Attachment,connector_hardpoint_b.xml,Mechanics,,FALSE,FALSE,FALSE,20,2,1,1,2,A hardpoint connector for building detachable vehicle sections.,"A hardpoint body will connect to a hardpoint attachment when correctly aligned, fixing the two components in place while transferring logic and fluid."
Hardpoint Connector Attachment (Round),connector_hardpoint_b_round.xml,Mechanics,,FALSE,FALSE,FALSE,20,2,1,1,2,A hardpoint connector for building detachable vehicle sections.,"A hardpoint body will connect to a hardpoint attachment when correctly aligned, fixing the two components in place while transferring logic and fluid."
Hardpoint Connector Body,connector_hardpoint_a.xml,Mechanics,,FALSE,FALSE,FALSE,20,2,1,3,1,A hardpoint connector for building detachable vehicle sections.,"A hardpoint body will connect to a hardpoint attachment when correctly aligned, fixing the two components in place while transferring logic and fluid. The hardpoint body can release the connection by receiving an on/off input signal."
